cancer_type,model,accuracy,mean_prob,n_samples,n_valid
Mature T and NK Neoplasms,qwen3-vl-235b-a22b,75.25773195876289,0.8159793814432991,97,97
Mature T and NK Neoplasms,AlphaMissense,89.69072164948454,0.9308731958762886,97,97
Myelodysplastic Syndromes,gpt-5,91.66666666666666,0.8802083333333334,96,96
Myelodysplastic Syndromes,o3-mini,93.75,0.8561458333333333,96,96
Myelodysplastic Syndromes,gpt-4o,86.45833333333334,0.8330208333333332,96,96
Myelodysplastic Syndromes,medgemma,86.45833333333334,0.9437499999999998,96,96
Myelodysplastic Syndromes,qwen3,86.45833333333334,0.9402083333333332,96,96
Myelodysplastic Syndromes,claude-sonnet-37,89.58333333333334,0.9008333333333333,96,96
Myelodysplastic Syndromes,claude-sonnet-45,86.45833333333334,0.8411458333333331,96,96
Myelodysplastic Syndromes,claude-opus-45,91.66666666666666,0.8438541666666666,96,96
Myelodysplastic Syndromes,deepseek,86.45833333333334,0.9354166666666665,96,96
Myelodysplastic Syndromes,deepseek-r1,90.625,0.8595833333333333,96,96
Myelodysplastic Syndromes,qwen3-vl-235b-a22b,89.58333333333334,0.899375,96,96
Myelodysplastic Syndromes,AlphaMissense,90.625,0.9497739583333334,96,96
Myelodysplastic Workup,gpt-5,87.91208791208791,0.8373626373626374,91,91
Myelodysplastic Workup,o3-mini,90.10989010989012,0.8430769230769231,91,91
Myelodysplastic Workup,gpt-4o,81.31868131868131,0.832197802197802,91,91
Myelodysplastic Workup,medgemma,84.61538461538461,0.9467032967032966,91,91
Myelodysplastic Workup,qwen3,89.01098901098901,0.9217582417582415,91,91
Myelodysplastic Workup,claude-sonnet-37,78.02197802197803,0.8613186813186814,91,91
Myelodysplastic Workup,claude-sonnet-45,83.51648351648352,0.8502197802197803,91,91
Myelodysplastic Workup,claude-opus-45,86.81318681318682,0.8259340659340657,91,91
Myelodysplastic Workup,deepseek,89.01098901098901,0.9148351648351645,91,91
Myelodysplastic Workup,deepseek-r1,81.31868131868131,0.8267032967032965,91,91
Myelodysplastic Workup,qwen3-vl-235b-a22b,87.91208791208791,0.8329670329670329,91,91
Myelodysplastic Workup,AlphaMissense,92.3076923076923,0.9257153846153844,91,91
Germ Cell Tumor,gpt-5,85.71428571428571,0.8809890109890108,91,91
Germ Cell Tumor,o3-mini,86.81318681318682,0.8446153846153848,91,91
Germ Cell Tumor,gpt-4o,71.42857142857143,0.8005494505494505,91,91
Germ Cell Tumor,medgemma,90.10989010989012,0.9335164835164832,91,91
Germ Cell Tumor,qwen3,89.01098901098901,0.9373626373626374,91,91
Germ Cell Tumor,claude-sonnet-37,87.91208791208791,0.8982417582417583,91,91
Germ Cell Tumor,claude-sonnet-45,76.92307692307693,0.7658241758241758,91,91
Germ Cell Tumor,claude-opus-45,79.12087912087912,0.7528571428571428,91,91
Germ Cell Tumor,deepseek,87.91208791208791,0.929120879120879,91,91
Germ Cell Tumor,deepseek-r1,79.12087912087912,0.7461538461538462,91,91
Germ Cell Tumor,qwen3-vl-235b-a22b,83.51648351648352,0.8050549450549452,91,91
Germ Cell Tumor,AlphaMissense,95.6043956043956,0.9508527472527472,91,91
B-Lymphoblastic Leukemia/Lymphoma,gpt-5,82.14285714285714,0.8123809523809525,84,84
B-Lymphoblastic Leukemia/Lymphoma,o3-mini,79.76190476190477,0.7717857142857144,84,84
B-Lymphoblastic Leukemia/Lymphoma,gpt-4o,77.38095238095238,0.8184523809523809,84,84
B-Lymphoblastic Leukemia/Lymphoma,medgemma,64.28571428571429,0.9357142857142858,84,84
B-Lymphoblastic Leukemia/Lymphoma,qwen3,61.904761904761905,0.9344047619047618,84,84
B-Lymphoblastic Leukemia/Lymphoma,claude-sonnet-37,78.57142857142857,0.8282142857142858,84,84
B-Lymphoblastic Leukemia/Lymphoma,claude-sonnet-45,66.66666666666666,0.7002380952380952,84,84
B-Lymphoblastic Leukemia/Lymphoma,claude-opus-45,84.52380952380952,0.6783333333333333,84,84
B-Lymphoblastic Leukemia/Lymphoma,deepseek,61.904761904761905,0.9142857142857144,84,84
B-Lymphoblastic Leukemia/Lymphoma,deepseek-r1,77.38095238095238,0.7364285714285715,84,84
B-Lymphoblastic Leukemia/Lymphoma,qwen3-vl-235b-a22b,75.0,0.7191666666666666,84,84
B-Lymphoblastic Leukemia/Lymphoma,AlphaMissense,84.52380952380952,0.9290916666666665,84,84
Appendiceal Cancer,gpt-5,80.0,0.8412000000000001,75,75
Appendiceal Cancer,o3-mini,82.66666666666667,0.7412000000000002,75,75
Appendiceal Cancer,gpt-4o,72.0,0.7973333333333333,75,75
Appendiceal Cancer,medgemma,82.66666666666667,0.9486666666666669,75,75
Appendiceal Cancer,qwen3,81.33333333333333,0.9250666666666666,75,75
Appendiceal Cancer,claude-sonnet-37,80.0,0.8318666666666666,75,75
Appendiceal Cancer,claude-sonnet-45,68.0,0.6838666666666666,75,75
