cancer_type,model,accuracy,mean_prob,n_samples,n_valid
Head and Neck Cancer,claude-sonnet-45,9.792843691148775,0.5979321181646763,1593,1593
Head and Neck Cancer,claude-opus-45,14.500941619585687,0.39459798994974876,1593,1593
CNS Cancer,GDD-ENS,36.077481840193705,0.5291193704600484,1239,1239
CNS Cancer,gpt-5,43.66424535916062,0.6447780468119451,1239,1239
CNS Cancer,gpt-4o,8.624898291293736,0.6898047192839707,1239,1229
CNS Cancer,o3-mini,22.114608555286523,0.8173365617433412,1239,1239
CNS Cancer,medgemma,7.74818401937046,0.7658192090395479,1239,1239
CNS Cancer,qwen3,0.8042895442359249,0.886988382484361,1239,1119
CNS Cancer,qwen3-vl-235b-a22b,0.08071025020177562,0.7103793381759483,1239,1239
CNS Cancer,deepseek,0.5565862708719851,0.788682745825603,1239,1078
CNS Cancer,deepseek-r1,5.084745762711865,0.6416061339790153,1239,1239
CNS Cancer,claude-sonnet-37,1.1299435028248588,0.6716707021791768,1239,1239
CNS Cancer,claude-sonnet-45,3.14769975786925,0.6448778501628665,1239,1239
CNS Cancer,claude-opus-45,2.0984665052461664,0.41948345439870866,1239,1239
Gastrointestinal Stromal Tumor,GDD-ENS,77.33333333333333,0.7778963555555555,1125,1125
Gastrointestinal Stromal Tumor,gpt-5,87.46666666666667,0.8429066666666667,1125,1125
Gastrointestinal Stromal Tumor,gpt-4o,72.98747763864043,0.7934704830053666,1125,1118
Gastrointestinal Stromal Tumor,o3-mini,83.37777777777777,0.8843822222222222,1125,1125
Gastrointestinal Stromal Tumor,medgemma,39.46666666666667,0.8359555555555556,1125,1125
Gastrointestinal Stromal Tumor,qwen3,50.68359375,0.9177734374999998,1125,1024
Gastrointestinal Stromal Tumor,qwen3-vl-235b-a22b,68.71111111111111,0.819351111111111,1125,1125
Gastrointestinal Stromal Tumor,deepseek,59.35984481086324,0.8310863239573228,1125,1031
Gastrointestinal Stromal Tumor,deepseek-r1,85.06666666666666,0.84256,1125,1125
Gastrointestinal Stromal Tumor,claude-sonnet-37,83.82222222222222,0.8189155555555555,1125,1125
Gastrointestinal Stromal Tumor,claude-sonnet-45,77.33333333333333,0.7998843416370106,1125,1125
Gastrointestinal Stromal Tumor,claude-opus-45,82.04444444444444,0.6788444444444444,1125,1125
Bone Cancer,GDD-ENS,59.3939393939394,0.6296965151515151,660,660
Bone Cancer,gpt-5,7.121212121212121,0.6100757575757575,660,660
Bone Cancer,gpt-4o,1.8320610687022902,0.6941679389312977,660,655
Bone Cancer,o3-mini,5.606060606060606,0.8056818181818182,660,660
Bone Cancer,medgemma,0.7575757575757576,0.775530303030303,660,660
Bone Cancer,qwen3,0.0,0.8964395229982964,660,587
Bone Cancer,qwen3-vl-235b-a22b,0.0,0.7279393939393939,660,660
Bone Cancer,deepseek,0.0,0.7533171521035598,660,618
Bone Cancer,deepseek-r1,1.9696969696969695,0.6671212121212122,660,660
Bone Cancer,claude-sonnet-37,3.0303030303030303,0.6385,660,660
Bone Cancer,claude-sonnet-45,2.5757575757575757,0.6551829268292683,660,660
Bone Cancer,claude-opus-45,0.9090909090909091,0.4393030303030303,660,660
Mesothelioma,GDD-ENS,41.76372712146423,0.5850106489184692,601,601
