cancer_type,model,f1,mean_prob,n_samples,n_valid
Salivary Gland Cancer,claude-opus-45,0.013559322033898305,0.4011945392491468,586,586
Small Cell Lung Cancer,GDD-ENS,0.3374233128834356,0.5950180811808118,542,542
Small Cell Lung Cancer,gpt-5,0.31937984496124033,0.617380073800738,542,542
Small Cell Lung Cancer,gpt-4o,0.011049723756906077,0.6728888888888889,542,540
Small Cell Lung Cancer,o3-mini,0.25161290322580643,0.8105535055350553,542,542
Small Cell Lung Cancer,medgemma,0.003683241252302026,0.7578413284132841,542,542
Small Cell Lung Cancer,qwen3,0.2122905027932961,0.8983541666666665,542,480
Small Cell Lung Cancer,qwen3-vl-235b-a22b,0.06428571428571428,0.7135055350553506,542,542
Small Cell Lung Cancer,deepseek,0.0,0.7779807692307692,542,520
Small Cell Lung Cancer,deepseek-r1,0.3141524105754277,0.6743542435424354,542,542
Small Cell Lung Cancer,claude-sonnet-37,0.09824561403508772,0.6503690036900369,542,542
Small Cell Lung Cancer,claude-sonnet-45,0.2023217247097844,0.6611645101663586,542,542
Small Cell Lung Cancer,claude-opus-45,0.2572347266881029,0.43709796672828094,542,542
Gastrointestinal Neuroendocrine Tumor,GDD-ENS,0.24958402662229615,0.4859673003802282,526,526
Gastrointestinal Neuroendocrine Tumor,gpt-5,0.09074410163339383,0.6138403041825095,526,526
Gastrointestinal Neuroendocrine Tumor,gpt-4o,0.011385199240986717,0.6950954198473283,526,524
Gastrointestinal Neuroendocrine Tumor,o3-mini,0.040968342644320296,0.7941634980988592,526,526
Gastrointestinal Neuroendocrine Tumor,medgemma,0.011342155009451797,0.8037072243346006,526,526
Gastrointestinal Neuroendocrine Tumor,qwen3,0.0,0.8964549180327869,526,488
Gastrointestinal Neuroendocrine Tumor,qwen3-vl-235b-a22b,0.01509433962264151,0.7187262357414448,526,526
Gastrointestinal Neuroendocrine Tumor,deepseek,0.008492569002123142,0.7337953091684435,526,469
Gastrointestinal Neuroendocrine Tumor,deepseek-r1,0.03364485981308411,0.6619771863117871,526,526
Gastrointestinal Neuroendocrine Tumor,claude-sonnet-37,0.02626641651031895,0.6432889733840305,526,526
Gastrointestinal Neuroendocrine Tumor,claude-sonnet-45,0.0,0.6360687022900763,526,526
Gastrointestinal Neuroendocrine Tumor,claude-opus-45,0.05185185185185185,0.4222623574144486,526,526
"Skin Cancer, Non-Melanoma",GDD-ENS,0.4930662557781202,0.49647730061349693,489,489
"Skin Cancer, Non-Melanoma",gpt-5,0.2902097902097902,0.6148261758691206,489,489
"Skin Cancer, Non-Melanoma",gpt-4o,0.008146639511201629,0.6784253578732107,489,489
"Skin Cancer, Non-Melanoma",o3-mini,0.008146639511201629,0.8053374233128833,489,489
"Skin Cancer, Non-Melanoma",medgemma,0.0,0.7155419222903885,489,489
"Skin Cancer, Non-Melanoma",qwen3,0.0,0.8976419213973797,489,458
"Skin Cancer, Non-Melanoma",qwen3-vl-235b-a22b,0.0,0.7257873210633946,489,489
"Skin Cancer, Non-Melanoma",deepseek,0.004484304932735426,0.7243820224719101,489,445
"Skin Cancer, Non-Melanoma",deepseek-r1,0.012195121951219513,0.670715746421268,489,489
"Skin Cancer, Non-Melanoma",claude-sonnet-37,0.06719367588932806,0.650756646216769,489,489
"Skin Cancer, Non-Melanoma",claude-sonnet-45,0.004081632653061225,0.6492418032786884,489,489
"Skin Cancer, Non-Melanoma",claude-opus-45,0.12284069097888675,0.4005316973415132,489,489
Uterine Sarcoma,GDD-ENS,0.6528662420382165,0.6102697399527186,423,423
Uterine Sarcoma,gpt-5,0.18064516129032257,0.5919621749408983,423,423
Uterine Sarcoma,gpt-4o,0.037209302325581395,0.6872037914691944,423,422
Uterine Sarcoma,o3-mini,0.0684931506849315,0.7948463356973996,423,423
Uterine Sarcoma,medgemma,0.0,0.7985815602836879,423,423
Uterine Sarcoma,qwen3,0.010416666666666666,0.8976178010471204,423,382
Uterine Sarcoma,qwen3-vl-235b-a22b,0.023364485981308407,0.7204728132387707,423,423
Uterine Sarcoma,deepseek,0.01990049751243781,0.822110552763819,423,398
Uterine Sarcoma,deepseek-r1,0.19230769230769232,0.6520094562647755,423,423
Uterine Sarcoma,claude-sonnet-37,0.037122969837587005,0.6481560283687943,423,423
Uterine Sarcoma,claude-sonnet-45,0.1031390134529148,0.6517061611374407,423,423
Uterine Sarcoma,claude-opus-45,0.06407322654462243,0.4059810874704492,423,423
Peripheral Nervous System,GDD-ENS,0.5398550724637681,0.5633141439205955,403,403
Peripheral Nervous System,gpt-5,0.45297504798464494,0.6422580645161291,403,403
Peripheral Nervous System,gpt-4o,0.0345679012345679,0.7041457286432161,403,398
Peripheral Nervous System,o3-mini,0.1035294117647059,0.8085359801488833,403,403
Peripheral Nervous System,medgemma,0.0,0.7952853598014888,403,403
Peripheral Nervous System,qwen3,0.0,0.9001156069364161,403,346
Peripheral Nervous System,qwen3-vl-235b-a22b,0.0,0.7148883374689825,403,403
Peripheral Nervous System,deepseek,0.0,0.7608870967741934,403,372
Peripheral Nervous System,deepseek-r1,0.0671462829736211,0.657196029776675,403,403
Peripheral Nervous System,claude-sonnet-37,0.009876543209876543,0.6488833746898263,403,403
Peripheral Nervous System,claude-sonnet-45,0.029339853300733496,0.6242786069651741,403,403
Peripheral Nervous System,claude-opus-45,0.18468468468468469,0.42330024813895784,403,403
Germ Cell Tumor,GDD-ENS,0.36363636363636365,0.5597682926829268,369,369
Germ Cell Tumor,gpt-5,0.4163090128755365,0.643929539295393,369,369
Germ Cell Tumor,gpt-4o,0.04825737265415549,0.6983791208791209,369,364
Germ Cell Tumor,o3-mini,0.19559902200488996,0.80710027100271,369,369
Germ Cell Tumor,medgemma,0.005405405405405406,0.7899728997289973,369,369
Germ Cell Tumor,qwen3,0.0872093023255814,0.8931914893617021,369,329
Germ Cell Tumor,qwen3-vl-235b-a22b,0.09302325581395349,0.7103252032520324,369,369
Germ Cell Tumor,deepseek,0.017699115044247787,0.7526785714285714,369,336
