cancer_type,model,recall,mean_prob,n_samples,n_valid
Small Cell Lung Cancer,claude-sonnet-45,0.11254612546125461,0.6611645101663586,542,542
Small Cell Lung Cancer,claude-opus-45,0.14760147601476015,0.43709796672828094,542,542
Gastrointestinal Neuroendocrine Tumor,GDD-ENS,0.14258555133079848,0.4859673003802282,526,526
Gastrointestinal Neuroendocrine Tumor,gpt-5,0.04752851711026616,0.6138403041825095,526,526
Gastrointestinal Neuroendocrine Tumor,gpt-4o,0.0057251908396946565,0.6950954198473283,526,524
Gastrointestinal Neuroendocrine Tumor,o3-mini,0.02091254752851711,0.7941634980988592,526,526
Gastrointestinal Neuroendocrine Tumor,medgemma,0.005703422053231939,0.8037072243346006,526,526
Gastrointestinal Neuroendocrine Tumor,qwen3,0.0,0.8964549180327869,526,488
Gastrointestinal Neuroendocrine Tumor,qwen3-vl-235b-a22b,0.0076045627376425855,0.7187262357414448,526,526
Gastrointestinal Neuroendocrine Tumor,deepseek,0.0042643923240938165,0.7337953091684435,526,469
Gastrointestinal Neuroendocrine Tumor,deepseek-r1,0.017110266159695818,0.6619771863117871,526,526
Gastrointestinal Neuroendocrine Tumor,claude-sonnet-37,0.013307984790874524,0.6432889733840305,526,526
Gastrointestinal Neuroendocrine Tumor,claude-sonnet-45,0.0,0.6360687022900763,526,526
Gastrointestinal Neuroendocrine Tumor,claude-opus-45,0.026615969581749048,0.4222623574144486,526,526
"Skin Cancer, Non-Melanoma",GDD-ENS,0.32719836400818,0.49647730061349693,489,489
"Skin Cancer, Non-Melanoma",gpt-5,0.16973415132924335,0.6148261758691206,489,489
"Skin Cancer, Non-Melanoma",gpt-4o,0.00408997955010225,0.6784253578732107,489,489
"Skin Cancer, Non-Melanoma",o3-mini,0.00408997955010225,0.8053374233128833,489,489
"Skin Cancer, Non-Melanoma",medgemma,0.0,0.7155419222903885,489,489
"Skin Cancer, Non-Melanoma",qwen3,0.0,0.8976419213973797,489,458
"Skin Cancer, Non-Melanoma",qwen3-vl-235b-a22b,0.0,0.7257873210633946,489,489
"Skin Cancer, Non-Melanoma",deepseek,0.0022471910112359553,0.7243820224719101,489,445
"Skin Cancer, Non-Melanoma",deepseek-r1,0.006134969325153374,0.670715746421268,489,489
"Skin Cancer, Non-Melanoma",claude-sonnet-37,0.034764826175869123,0.650756646216769,489,489
"Skin Cancer, Non-Melanoma",claude-sonnet-45,0.002044989775051125,0.6492418032786884,489,489
"Skin Cancer, Non-Melanoma",claude-opus-45,0.065439672801636,0.4005316973415132,489,489
Uterine Sarcoma,GDD-ENS,0.4846335697399527,0.6102697399527186,423,423
Uterine Sarcoma,gpt-5,0.09929078014184398,0.5919621749408983,423,423
Uterine Sarcoma,gpt-4o,0.018957345971563982,0.6872037914691944,423,422
Uterine Sarcoma,o3-mini,0.03546099290780142,0.7948463356973996,423,423
Uterine Sarcoma,medgemma,0.0,0.7985815602836879,423,423
Uterine Sarcoma,qwen3,0.005235602094240838,0.8976178010471204,423,382
Uterine Sarcoma,qwen3-vl-235b-a22b,0.01182033096926714,0.7204728132387707,423,423
Uterine Sarcoma,deepseek,0.010050251256281407,0.822110552763819,423,398
Uterine Sarcoma,deepseek-r1,0.10638297872340426,0.6520094562647755,423,423
Uterine Sarcoma,claude-sonnet-37,0.018912529550827423,0.6481560283687943,423,423
Uterine Sarcoma,claude-sonnet-45,0.054373522458628844,0.6517061611374407,423,423
Uterine Sarcoma,claude-opus-45,0.03309692671394799,0.4059810874704492,423,423
Peripheral Nervous System,GDD-ENS,0.369727047146402,0.5633141439205955,403,403
Peripheral Nervous System,gpt-5,0.29280397022332505,0.6422580645161291,403,403
Peripheral Nervous System,gpt-4o,0.017587939698492462,0.7041457286432161,403,398
Peripheral Nervous System,o3-mini,0.05459057071960298,0.8085359801488833,403,403
Peripheral Nervous System,medgemma,0.0,0.7952853598014888,403,403
Peripheral Nervous System,qwen3,0.0,0.9001156069364161,403,346
Peripheral Nervous System,qwen3-vl-235b-a22b,0.0,0.7148883374689825,403,403
Peripheral Nervous System,deepseek,0.0,0.7608870967741934,403,372
Peripheral Nervous System,deepseek-r1,0.034739454094292806,0.657196029776675,403,403
Peripheral Nervous System,claude-sonnet-37,0.004962779156327543,0.6488833746898263,403,403
Peripheral Nervous System,claude-sonnet-45,0.01488833746898263,0.6242786069651741,403,403
Peripheral Nervous System,claude-opus-45,0.10173697270471464,0.42330024813895784,403,403
Germ Cell Tumor,GDD-ENS,0.2222222222222222,0.5597682926829268,369,369
Germ Cell Tumor,gpt-5,0.26287262872628725,0.643929539295393,369,369
Germ Cell Tumor,gpt-4o,0.024725274725274724,0.6983791208791209,369,364
Germ Cell Tumor,o3-mini,0.10840108401084012,0.80710027100271,369,369
Germ Cell Tumor,medgemma,0.0027100271002710027,0.7899728997289973,369,369
Germ Cell Tumor,qwen3,0.04559270516717325,0.8931914893617021,369,329
Germ Cell Tumor,qwen3-vl-235b-a22b,0.04878048780487805,0.7103252032520324,369,369
Germ Cell Tumor,deepseek,0.008928571428571428,0.7526785714285714,369,336
